attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
16,100,300,16,5,70,14968,514,12734,90,21085,535,17523
17,100,300,4,3,23,4444,450,6154,37,9850,539,10097
17,100,300,8,3,23,4444,450,6154,70,17692,455,19639
17,100,300,12,3,23,4444,450,6154,51,31726,428,14909
17,100,300,16,3,23,4444,450,6154,74,17912,596,27346
18,100,300,4,3,45,8223,639,7190,215,15436,695,11968
18,100,300,8,3,45,8223,639,7190,72,20710,593,20407
18,100,300,12,3,45,8223,639,7190,79,15712,656,18505
18,100,300,16,3,45,8223,639,7190,90,18703,584,20601
19,100,300,4,5,81,16595,442,11250,1772,362815,1658,392328
19,100,300,8,5,81,16595,442,11250,122,14110,425,15232
19,100,300,12,5,81,16595,442,11250,65,17897,506,15831
19,100,300,16,5,81,16595,442,11250,68,20400,859,15347
20,100,300,4,5,104,11731,445,8074,654,227240,1071,229621
20,100,300,8,5,104,11731,445,8074,81,18045,573,14741
20,100,300,12,5,104,11731,445,8074,64,17983,988,14093
20,100,300,16,5,104,11731,445,8074,156,16983,653,18586
21,100,300,4,3,20,5204,423,3668,29,6619,553,7978
21,100,300,8,3,20,5204,423,3668,79,15289,645,18983
21,100,300,12,3,20,5204,423,3668,86,14099,546,15404
21,100,300,16,3,20,5204,423,3668,47,17613,538,14037
22,100,300,4,3,27,8641,483,3729,28,5874,506,8230
22,100,300,8,3,27,8641,483,3729,46,14685,732,15032
22,100,300,12,3,27,8641,483,3729,140,18988,541,14256
22,100,300,16,3,27,8641,483,3729,85,17586,664,19528
23,100,300,4,4,16,4377,518,2590,10,2929,576,5639
23,100,300,8,4,16,4377,518,2590,59,15617,526,15842
23,100,300,12,4,16,4377,518,2590,52,14167,561,16566
23,100,300,16,4,16,4377,518,2590,47,17476,469,16653
24,100,300,4,3,83,7380,376,6341,37,10620,407,16817
24,100,300,8,3,83,7380,376,6341,60,18368,478,21462
24,100,300,12,3,83,7380,376,6341,82,15425,470,19223
24,100,300,16,3,83,7380,376,6341,66,16386,527,16345
25,100,300,4,4,23,5330,557,3338,15,5069,418,3557
25,100,300,8,4,23,5330,557,3338,75,18038,449,19202
25,100,300,12,4,23,5330,557,3338,63,18091,488,14496
25,100,300,16,4,23,5330,557,3338,61,30800,480,18417
26,100,300,4,4,86,10851,377,10867,34,9467,509,10795
26,100,300,8,4,86,10851,377,10867,48,15450,444,17600
26,100,300,12,4,86,10851,377,10867,52,16387,495,16849
26,100,300,16,4,86,10851,377,10867,47,20205,506,18463
27,100,300,4,5,81,15033,483,15836,1163,445933,1888,511393
27,100,300,8,5,81,15033,483,15836,48,19415,515,19096
27,100,300,12,5,81,15033,483,15836,63,21235,582,21206
27,100,300,16,5,81,15033,483,15836,67,23775,938,23567
28,100,300,4,5,104,16505,869,13611,1869,479127,1391,324575
28,100,300,8,5,104,16505,869,13611,69,15611,489,20531
28,100,300,12,5,104,16505,869,13611,103,17668,687,18300
28,100,300,16,5,104,16505,869,13611,89,24078,548,19286
29,100,300,4,5,64,15047,519,17284,1425,469853,1948,461866
29,100,300,8,5,64,15047,519,17284,67,18655,616,24036
29,100,300,12,5,64,15047,519,17284,69,21621,512,19315
